Date,AAPL,AMGN,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-03-08,151.3438,214.4598,169.869,207.2,240.1466,45.8948,150.016,98.0882,331.2766,277.0644,118.3926,25.3572,143.7835,130.1776,56.065,253.3172,101.6559,249.7282,116.0791,35.9063,130.9377,169.9848,454.5307,218.8276,32.1964,30.1274,44.682
2023-03-09,149.0865,211.9813,167.2358,201.24,232.6541,45.6144,147.7334,94.9668,324.448,273.7471,116.6451,25.8062,142.1666,123.1302,55.5234,249.7847,101.0175,248.3698,114.1519,35.3156,129.9765,167.178,449.0349,216.6805,31.3557,29.0876,44.3811
2023-03-10,147.0174,213.9341,160.998,203.07,219.185,45.3808,146.9603,92.4282,310.7715,272.1407,115.9887,26.5675,142.5144,126.2571,55.29,250.1667,101.102,244.6982,113.7838,35.2529,130.5665,168.8698,446.1949,212.8691,31.4672,29.0614,44.3164
2023-03-13,148.9677,218.9193,153.157,203.37,216.9546,45.2406,146.0767,91.47,299.2387,272.3403,116.1089,26.3039,143.8774,123.9899,55.8503,251.1691,99.2619,249.9447,113.1737,35.6736,131.4707,165.5439,449.4421,211.2244,31.3471,29.3323,44.4458
2023-03-14,151.0665,216.4783,159.2588,207.28,217.8911,45.8387,147.9635,92.2207,305.5362,271.4374,115.249,27.3385,144.6859,127.1735,56.0557,253.8614,101.1242,256.7072,115.2462,35.7094,133.0981,165.1017,450.3144,215.351,31.6388,29.0876,44.682
2023-03-15,151.4626,220.5341,155.2752,198.21,209.7711,45.848,141.5575,91.9639,296.0899,273.7186,113.9823,27.7289,145.0901,121.1653,56.4292,254.2815,101.7481,261.2843,114.4424,36.0494,134.9825,160.036,451.1383,213.0956,31.7932,29.3061,45.1803
2023-03-16,154.294,220.2243,156.169,203.19,211.1711,46.8386,142.0085,93.1394,298.8404,272.54,115.2952,29.4565,144.7893,123.5175,56.7397,258.32,101.474,271.876,116.8442,36.13,135.9913,165.5343,457.526,214.1593,31.3814,29.1925,44.9236
2023-03-17,153.4525,215.7366,152.0785,201.05,207.5986,46.9041,140.2138,92.0627,287.886,274.1178,114.3614,29.0954,143.2383,118.8508,56.4763,255.1026,98.411,275.0553,116.5924,35.8884,136.0294,158.6326,455.0834,214.1002,31.5616,28.7556,45.2875
2023-03-20,155.8285,220.3651,154.2355,204.77,212.7159,47.605,142.2755,93.0702,293.5671,274.9447,116.4417,28.461,144.6576,120.1072,57.022,258.4823,100.0654,267.9681,117.3768,36.5238,138.1232,162.17,462.3143,214.8487,32.1106,29.0003,45.7748
2023-03-21,157.6897,218.7034,159.8904,204.7,217.167,47.3526,146.629,95.3619,300.9174,275.1064,117.0242,27.7777,144.6576,123.3286,56.7585,257.9763,99.7724,269.4938,121.6477,36.3895,137.1239,165.0921,465.3578,218.5912,32.3765,29.3061,45.6189
2023-03-22,156.2542,215.7742,158.1317,196.16,212.3683,46.2219,143.6469,93.742,297.4936,268.6238,114.6943,27.4557,141.988,120.145,56.5045,255.7422,98.6946,268.0271,115.7304,35.8078,137.0383,160.1706,460.9185,216.7101,32.0077,28.3974,45.3265
2023-03-23,157.3432,218.8442,158.1414,197.9,211.8759,46.4742,142.2202,94.6606,298.6127,269.8596,114.0655,28.3341,142.0632,119.8238,56.3822,257.413,98.534,273.313,117.1541,35.96,136.8479,157.508,455.4807,219.2215,32.0591,28.2488,45.6936
2023-03-24,158.6501,223.4727,155.246,197.53,209.5296,47.2031,143.6376,92.932,296.4503,269.0136,115.8407,28.6562,143.492,118.0006,57.3043,259.0456,99.0728,276.1775,116.9023,36.1479,139.6364,158.5173,461.3741,217.6949,32.3079,28.5721,46.0672
2023-03-27,156.6997,222.2804,158.4912,200.57,210.4855,47.2311,145.1011,94.4532,302.103,267.3502,119.5575,28.4805,144.1031,121.3825,57.7277,261.442,101.0864,272.0531,114.0938,35.9958,138.9036,159.9014,467.1026,218.4533,32.6425,28.7818,46.8371
2023-03-28,156.076,223.8952,154.6922,204.96,212.5711,47.091,146.7946,93.6629,302.0176,266.9225,119.5853,28.5878,142.7119,121.751,57.7936,263.361,99.7629,270.9211,114.1519,35.7899,139.2938,159.4497,458.0688,216.9957,32.5996,29.5507,46.6552
2023-03-29,159.1649,226.2892,158.9479,207.97,215.3132,47.8199,148.0555,95.6879,304.18,269.3367,119.9274,30.7644,144.1124,121.9966,58.2076,264.8789,99.1862,276.1184,116.6892,36.0226,139.7221,163.2754,452.2627,219.9207,33.0114,29.8391,46.8566
2023-03-30,160.739,226.7305,157.8014,211.04,216.8001,48.0629,149.4638,96.9029,304.5783,271.2378,119.4743,31.3207,144.2253,121.6282,58.1982,265.2131,100.1316,279.603,116.3115,36.1389,140.3312,164.1982,455.6262,218.995,33.1658,30.2585,47.3244
2023-03-31,163.2536,226.9652,160.2693,212.43,220.9519,48.8572,150.1725,98.9081,310.2404,280.5148,121.2033,31.8868,145.701,123.1019,58.3676,266.9507,100.5759,283.7865,118.7714,36.5148,141.5113,164.7653,458.0785,222.0481,33.3631,30.2148,47.9027
2023-04-03,164.511,229.4907,159.1325,215.39,221.9464,48.8853,156.422,98.5426,309.6809,282.9956,122.1001,32.1015,147.4401,122.9602,58.7157,269.3661,102.9204,282.7333,117.832,37.0071,142.2917,165.6112,479.0152,225.5345,33.6462,30.9837,48.3056
2023-04-04,163.9763,232.3917,157.9471,213.9,209.9545,48.7911,155.5844,98.355,306.0104,280.3626,121.6748,32.3065,148.9817,121.3164,58.537,269.4998,102.8826,282.684,119.7883,36.6043,142.977,162.0931,478.1041,224.2148,34.0151,31.3245,47.8312
2023-04-05,162.125,237.8746,157.089,210.0,206.1696,48.7911,156.3576,98.6908,304.9482,274.384,122.1741,32.043,155.6745,121.4973,59.0921,269.2516,105.7942,279.8885,117.0863,37.1861,143.9573,163.7079,493.5934,224.717,34.4097,31.5604,48.6239
2023-04-06,163.016,237.8276,154.8947,211.37,201.9599,48.2733,154.3051,98.7501,305.7733,274.3269,120.6578,32.0235,155.2421,121.364,59.1298,270.0822,106.1913,287.0348,116.4277,37.1413,144.8709,164.6307,497.0635,222.57,34.4298,31.2633,48.991
2023-04-10,160.4123,235.5556,157.1475,210.78,208.1007,48.3298,154.8941,99.5798,308.2013,276.7602,121.1478,31.7404,154.4619,121.7639,58.9886,270.9319,106.456,284.8594,118.0644,37.3472,143.6717,165.9572,499.3607,223.0034,34.3164,31.5429,48.8968
2023-04-11,159.1946,236.0532,157.8204,212.32,212.9959,47.6612,155.7501,99.1946,310.487,279.2315,120.5838,31.5745,154.4149,122.3637,58.8851,271.6002,106.3425,278.4021,119.4106,37.4009,143.3862,166.8223,504.9729,224.9928,34.4036,31.7264,48.7539
2023-04-12,158.5016,234.2412,155.3433,212.34,212.8994,47.1811,156.3024,96.7449,313.209,276.0663,118.8456,31.2524,154.0859,122.3447,58.9886,272.3831,107.5337,279.0518,119.7592,37.025,143.7764,167.1011,505.1862,224.3625,34.1856,31.1847,48.5167
2023-04-13,163.907,236.0626,158.2787,213.59,214.029,47.8307,158.3916,99.6095,315.0016,277.6918,118.2539,31.3598,156.1446,122.8112,59.4215,275.9824,109.2637,285.3024,122.4418,37.1145,144.4426,166.4859,510.0714,229.1687,34.2903,31.2633,48.5655
2023-04-14,163.5606,234.7107,159.1759,201.71,215.9697,47.5859,158.7138,98.6809,319.5446,277.7298,118.4758,31.1255,155.8907,132.0847,59.3274,275.8965,109.0084,281.6603,121.977,36.8639,143.7098,161.8431,496.0748,230.4785,34.2031,30.8614,48.2373
2023-04-17,163.5803,232.8987,159.6538,205.03,217.476,47.3411,157.3148,99.076,322.1622,280.7809,118.1799,31.3695,155.7309,133.132,59.7132,276.2115,108.7248,284.2787,122.2094,36.8549,143.7574,164.6403,489.8326,229.9467,34.4123,31.4031,48.5752
2023-04-18,164.808,231.0398,160.3267,208.37,217.4373,47.3694,156.9466,99.6984,316.6898,284.1552,118.1429,31.067,151.3505,134.6268,59.8072,277.7391,108.5547,283.8554,122.2288,36.2911,143.9097,165.3324,488.9893,230.0649,33.9589,31.0886,48.6824
