Date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0007.HK,0011.HK,0012.HK,0016.HK,0017.HK,0070.HK,1072.HK,2208.HK,600941.SS
2023-05-17,45.2797,53.9878,6.6011,16.519,52.7334,40.2303,0.241,98.1881,23.291,93.6033,18.6371,0.053,10.3233,5.6711,83.4694
2023-05-18,45.2797,53.5349,6.5384,16.4613,53.4527,40.057,0.242,98.9835,23.334,92.8819,18.6563,0.053,10.4339,5.6711,84.6698
2023-05-19,45.324,53.399,6.6638,16.25,53.4527,40.0137,0.24,98.9835,23.291,93.3328,18.5411,0.055,10.2311,5.5148,85.3204
2023-05-22,45.2353,53.3538,6.619,16.4998,53.7224,39.3704,0.241,99.337,23.377,93.964,18.6755,0.055,10.268,5.6067,86.5666
2023-05-23,44.7137,51.8591,6.5563,16.711,53.5875,38.1471,0.241,99.337,23.1191,93.1524,18.426,0.055,10.0652,5.5516,83.9367
2023-05-24,45.2686,52.3573,6.5832,16.6534,53.2729,38.5549,0.238,98.0114,22.9043,93.1524,18.4836,0.055,9.9177,5.4781,82.7363
2023-05-25,44.8062,52.312,6.5653,16.5382,52.4636,38.2831,0.239,96.4205,22.7324,91.7998,18.2149,0.05,9.8255,5.4505,83.8451
2023-05-26,44.6444,52.1309,6.5429,16.4997,52.6435,38.5549,0.237,96.067,22.8183,91.6645,18.234,0.049,9.7426,5.3678,85.9252
2023-05-29,44.4825,51.9497,6.5205,16.4613,52.8233,38.8267,0.235,95.7135,22.9043,91.5293,18.2532,0.048,9.6596,5.285,86.5483
2023-05-30,44.4825,52.0856,6.4578,16.2308,52.9132,38.6002,0.235,95.0949,22.2597,91.9801,18.33,0.048,9.6228,5.2115,88.3901
2023-05-31,43.7889,51.678,6.3235,15.789,51.8792,38.1925,0.233,92.5319,21.3573,89.9061,17.9461,0.048,9.5121,5.2207,88.3351
2023-06-01,43.1416,51.3156,6.3414,15.6354,51.5645,37.7847,0.23,92.4435,20.197,89.0945,17.5047,0.05,9.5306,5.1931,90.571
2023-06-02,44.0664,51.6179,6.4578,16.0003,52.3288,38.1471,0.228,94.4762,21.0994,91.7998,18.4836,0.05,9.7518,5.377,90.9834
2023-06-05,44.6675,52.3965,6.5474,16.7879,53.1829,38.6002,0.227,97.0392,21.3573,93.0623,18.7907,0.049,9.7702,5.377,89.3431
2023-06-06,44.76,52.4423,6.5116,16.9992,53.093,38.419,0.227,96.2438,21.5721,92.6114,18.9826,0.049,9.5306,5.285,90.1037
2023-06-07,44.5288,52.1217,6.5116,16.9992,53.6325,38.4643,0.226,97.216,21.6628,92.6114,18.9442,0.049,9.5121,5.2207,89.6357
2023-06-08,45.1761,51.9843,6.5116,17.1912,53.9022,38.1471,0.226,99.337,21.5721,92.431,19.1362,0.051,9.5674,5.2667,90.6176
2023-06-09,45.5923,52.1675,6.4468,17.2489,53.9472,38.2378,0.225,99.6905,21.7081,92.6114,19.1937,0.051,9.7702,5.2667,96.0042
2023-06-12,45.8235,52.1217,6.3821,17.1912,53.9472,38.0565,0.223,99.6905,21.7987,92.8819,19.2417,0.05,9.5674,5.2115,93.3296
2023-06-13,45.4073,52.3507,6.3728,17.2489,53.8573,37.8753,0.226,100.8395,21.7534,92.7917,19.4816,0.051,9.5859,5.2207,91.1974
2023-06-14,45.1761,51.8011,6.3358,16.9031,53.9921,37.2864,0.22,99.6905,21.3455,91.2587,19.1553,0.051,9.3831,5.2115,90.2436
2023-06-15,45.2686,51.5721,6.3543,17.2297,53.9921,37.3317,0.211,99.9557,21.4815,91.6194,19.4337,0.051,9.6596,5.4597,90.8701
2023-06-16,45.5461,52.4881,6.5301,17.0568,54.8463,38.0112,0.202,100.3092,21.5268,92.3409,19.8655,0.051,9.8808,5.524,89.5328
2023-06-19,45.5923,52.4881,6.5023,17.0568,55.206,37.7847,0.209,101.1046,21.7534,92.5212,19.4816,0.051,9.9177,5.5148,89.776
2023-06-20,45.4536,56.6102,6.5023,17.1144,55.2959,37.83,0.209,101.4581,21.8894,91.1685,19.2897,0.051,9.7334,5.377,88.3732
2023-06-21,44.8525,56.7476,6.4098,16.7879,55.1161,37.241,0.21,102.3419,21.5721,90.2668,19.0594,0.051,9.6412,5.2667,86.3439
2023-06-23,44.5288,56.3812,6.2433,16.615,53.7224,36.8786,0.219,98.8951,20.983,88.0575,18.7331,0.051,9.1527,4.4578,86.6759
2023-06-26,44.3438,55.053,6.1878,16.8647,53.5875,36.7427,0.227,97.6579,21.0283,87.2008,18.7331,0.051,9.1342,5.061,87.0079
2023-06-27,44.8987,55.3278,6.3358,17.6138,54.3968,36.9692,0.222,98.1881,21.1189,88.7789,18.8866,0.051,9.4015,5.0139,88.3265
2023-06-28,45.0374,56.0606,6.3543,17.7675,54.7114,37.6035,0.223,98.4533,21.3002,89.4552,18.6947,0.051,9.4753,4.9856,87.382
2023-06-29,43.9739,55.74,6.2341,17.5178,54.7114,36.9692,0.217,97.3043,20.8923,88.0575,18.426,0.045,9.4384,4.995,87.9243
2023-06-30,44.2513,55.7858,6.2618,17.8827,54.8463,37.1957,0.204,98.5416,21.1189,89.0043,18.5028,0.045,9.5782,5.061,87.251
2023-07-03,44.5288,56.1064,6.3081,18.1132,55.7005,37.1504,0.205,98.3649,21.5268,89.0945,18.7139,0.043,9.865,5.0798,88.6538
2023-07-04,44.3438,55.969,6.2433,18.0556,55.9702,37.1051,0.188,98.4533,21.3908,89.6356,18.6563,0.046,9.9797,5.0516,89.0185
2023-07-05,44.0201,55.2362,6.2156,18.0172,55.4307,36.9692,0.185,97.3927,21.1642,89.1847,18.426,0.046,10.2283,4.9385,88.2049
2023-07-06,42.7717,54.824,6.0768,17.8059,54.8463,36.4709,0.185,96.5089,20.7111,87.336,18.0805,0.046,10.1327,4.8913,88.102
2023-07-07,42.5405,54.2286,5.9566,17.8251,54.5316,36.1084,0.18,94.4762,20.5298,85.758,17.7734,0.051,10.018,4.8065,87.1482
2023-07-10,42.633,53.8622,5.8826,17.9019,54.8014,35.7913,0.177,94.5646,20.6204,84.3602,17.6007,0.046,9.9415,4.8442,86.9705
2023-07-11,43.3265,54.4576,5.9011,18.3821,54.6215,36.1084,0.179,94.4762,20.9377,86.7499,17.7542,0.046,10.515,4.9479,87.2978
2023-07-12,43.2803,54.7324,5.9011,18.2669,55.206,36.0631,0.174,95.8019,20.847,86.8852,17.6774,0.046,10.84,4.9385,85.0066
2023-07-13,43.8814,55.8774,5.9936,18.1324,55.8803,36.6068,0.176,97.3927,21.0283,88.1476,18.0997,0.046,10.6871,5.0421,85.9511
