Date,ASIANPAINT.NS,BHARTIARTL.NS,BPCL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS
2023-04-05,2753.6509,755.7476,147.182,1612.9741,2508.6472,862.7565,1363.425,366.1007,1748.5424,2200.1089,8289.998,1065.9832,504.5691,3139.0471,2547.3315
2023-04-06,2754.9744,758.2224,148.9542,1625.2634,2491.6492,853.3936,1361.8448,367.0008,1753.7323,2216.1875,8358.3047,1073.1329,509.0552,3120.5405,2523.3206
2023-04-10,2722.1284,761.984,150.6591,1617.5581,2459.4988,847.0053,1367.3038,368.1378,1755.9281,2250.7327,8376.4609,1065.5248,507.7527,3161.9131,2558.2229
2023-04-11,2700.0188,766.3396,152.1397,1622.2887,2474.6514,860.1232,1346.76,375.1964,1842.9609,2242.7417,8498.5479,1070.7955,513.3483,3113.8555,2554.6091
2023-04-12,2732.3252,763.3203,151.3321,1643.3561,2456.3906,868.1695,1367.9744,372.8751,1840.5156,2230.0737,8460.7627,1075.5162,509.5858,3140.8391,2562.3816
2023-04-13,2754.8762,759.3112,149.0664,1650.7198,2463.4326,876.8009,1330.5258,374.8174,1865.9169,2201.083,8509.5879,1079.5724,514.1685,3089.6814,2560.1536
2023-04-17,2787.575,751.9859,150.6142,1625.556,2478.6335,879.0441,1205.1545,379.1283,1891.5177,2157.4756,8513.3662,1085.0492,524.829,3041.866,2579.9072
2023-04-18,2798.8506,752.0849,150.2104,1618.6798,2468.1436,874.704,1206.1602,377.565,1884.6808,2160.0095,8570.2891,1072.6288,526.6138,3033.3879,2552.2822
2023-04-19,2754.8271,756.9355,153.4408,1624.6294,2458.9648,869.8763,1180.1569,377.8019,1881.2874,2162.9329,8518.5684,1077.9683,521.2594,2993.5178,2543.9651
2023-04-20,2788.3103,764.5082,154.2035,1630.6766,2421.0837,872.3145,1171.7286,379.2705,1880.389,2175.7471,8552.624,1075.2412,525.6008,3008.2451,2553.8167
2023-04-21,2825.8135,757.4799,155.3251,1633.3101,2426.28,863.7806,1175.5117,386.8028,1890.0205,2158.645,8399.3271,1076.5933,524.009,3062.552,2542.9749
2023-04-24,2834.6375,752.5798,155.7738,1646.5259,2428.0283,882.4089,1174.5061,387.2292,1893.6136,2171.9954,8308.7432,1080.7181,535.0554,3076.0684,2603.6208
2023-04-25,2841.4031,764.8052,155.9084,1623.1177,2418.9951,890.8941,1173.1653,389.9294,1885.679,2190.5588,8311.4424,1088.9907,542.0017,3077.231,2607.2349
2023-04-26,2853.1682,765.6467,156.5814,1630.5791,2438.7615,892.3571,1175.7034,390.5927,1874.9994,2218.0388,8348.7363,1082.5973,546.3914,3098.6921,2614.958
2023-04-27,2843.3147,778.565,159.5649,1639.5522,2398.1121,895.673,1193.6133,394.1457,1904.9419,2246.7373,8384.1152,1089.4491,544.8478,3088.8093,2637.1865
2023-04-28,2845.6677,791.2358,160.4398,1645.9894,2386.7966,894.9904,1199.839,403.194,1934.3354,2304.0356,8429.8486,1109.363,557.9202,3119.136,2615.7998
2023-05-02,2842.9226,782.2277,162.0101,1645.6482,2381.3572,899.3305,1223.4957,402.1518,1917.4679,2323.574,8613.666,1118.7816,555.0259,3119.2812,2637.5828
