Date,ALFA.ST,ASSA-B.ST,ATCO-A.ST,AXFO.ST,CAST.ST,ERIC-B.ST,HM-B.ST,KINV-B.ST,LIAB.ST,NWG.ST,SAAB-B.ST,SAND.ST,SWED-A.ST,TEL2-B.ST,VOLV-B.ST
2023-04-25,370.2708,232.3891,126.5052,249.709,102.6535,50.3989,140.8719,165.4,146.9385,131.3551,147.7877,204.3459,156.9745,91.119,198.9612
2023-04-26,370.566,230.5577,124.7596,239.113,97.1512,50.3805,139.4166,165.8,148.4543,129.1412,148.2829,204.06,158.0866,94.518,198.632
2023-04-27,363.4814,235.8154,142.7972,234.7996,104.6276,50.6288,138.1639,164.3,154.0438,131.9085,146.3019,201.4879,156.8889,94.2566,196.5159
2023-04-28,369.4837,237.4706,144.7519,238.3629,104.4176,51.8333,138.0534,167.85,155.2754,135.5942,142.5378,203.4393,152.2695,94.9538,198.2558
2023-05-02,369.6805,233.3813,142.6994,235.3622,99.6713,51.0333,134.59,165.9,154.0438,132.8785,144.2217,203.5369,147.9068,91.642,195.7165
2023-05-03,370.8612,237.1785,143.0904,233.8619,100.9314,51.0058,135.5296,167.6,169.5809,134.4303,148.7287,202.8539,147.0085,92.0777,190.6849
2023-05-04,374.01,235.3286,144.2144,234.6121,101.3934,50.6471,134.8664,165.8,169.7703,136.3702,146.3019,199.3413,144.6561,91.4241,189.7914
2023-05-05,377.8475,236.6917,145.0452,236.4875,105.1316,50.9046,136.3265,168.9,169.5809,137.728,147.2428,201.1951,147.0941,92.4263,193.1301
2023-05-08,375.6827,235.5233,144.2144,238.4566,104.5016,51.0609,136.5337,167.95,170.1493,137.5341,145.8561,202.2684,146.4097,92.252,195.0111
2023-05-09,373.6164,236.1075,144.361,235.9249,100.1333,50.2518,134.9888,164.45,167.3072,134.6243,146.6485,200.2194,142.6458,92.0342,193.6474
2023-05-10,373.026,235.6207,143.8723,234.1432,102.1,49.9483,132.8976,164.95,167.9703,134.8183,145.3609,198.268,140.3788,91.5984,192.2367
2023-05-11,375.5844,239.1258,146.609,236.5812,105.3,49.1851,135.0454,167.7,168.823,137.5341,143.7265,194.4138,141.5764,91.8163,192.9891
2023-05-12,377.6507,238.6389,146.8045,235.0809,101.05,49.6449,134.7063,164.15,168.7268,138.698,147.5896,196.0238,141.9614,91.1626,194.3058
2023-05-15,380.209,240.1968,146.9022,231.7052,101.0,50.4356,134.5555,165.75,172.1879,139.8618,148.8277,198.5607,144.3567,92.5571,194.682
2023-05-16,377.2571,238.0548,145.9737,229.8298,102.2,49.9851,135.6482,165.45,170.1689,138.504,150.264,195.4384,144.1,91.6567,192.7539
2023-05-17,383.4561,237.7627,148.2217,226.5479,101.2,49.8104,138.0409,158.5,169.9766,134.8183,153.5328,196.4141,144.6988,91.2966,192.4248
