Date,4503.T,4523.T,4578.T,4661.T,6758.T,6762.T,6954.T,7203.T,7974.T,8035.T,8053.T,8306.T,8308.T,8316.T,9432.T,9984.T
2023-05-24,2137.0146,8148.7671,5016.1484,5165.2432,2612.4854,1044.0,4650.6299,1851.1691,5737.3843,17757.4336,2460.6562,874.1094,626.1958,1825.3213,155.1835,5002.2129
2023-05-25,2152.6467,8399.5732,5047.9697,5199.0166,2629.3276,1044.0,4618.6504,1834.1382,5685.1382,18292.5879,2457.8716,857.663,613.4767,1798.7925,154.7327,5009.1357
2023-05-26,2132.8765,8496.1074,4995.8979,5355.9604,2648.1509,1062.0,4574.0728,1832.7188,5749.9619,19105.0527,2460.6562,851.9302,600.7578,1783.2633,153.1926,5065.5068
2023-05-29,2111.2673,8446.8945,5041.2192,5339.0737,2630.3184,1072.0,4612.8354,1824.6764,5717.0664,19187.7598,2558.5813,872.1359,607.1651,1827.5859,152.8545,5480.8745
2023-05-30,2081.8418,8445.002,5013.2554,5245.7026,2646.1694,1090.0,4688.4243,1835.5573,5795.4355,19178.0273,2560.9019,877.6808,603.1485,1824.6743,150.8259,5449.2271
2023-05-31,2029.8877,8392.9473,4988.1841,5192.063,2607.532,1068.0,4649.6606,1805.7532,5743.1895,18793.6895,2447.1975,876.3651,605.8263,1836.9681,148.572,5414.6133
2023-06-01,2056.0947,8565.1982,5057.6123,5178.1562,2657.0671,1060.0,4595.3921,1838.3958,5760.6045,19202.3535,2481.0764,905.8748,614.7199,1847.968,149.9243,5661.856
2023-06-02,2049.6582,8991.0918,5076.8975,5286.4282,2684.8071,1080.0,4660.3208,1901.3156,5853.4863,18754.7695,2509.3865,910.9497,622.7531,1840.8505,151.765,5905.1426
2023-06-05,2103.4512,9275.0205,5141.5039,5351.9873,2746.2307,1105.8,4871.5806,1919.2928,5885.4146,18895.8555,2555.7969,916.4946,631.838,1869.3207,152.6666,5955.5801
2023-06-06,2119.5435,9275.0205,5182.9678,5397.6797,2749.2026,1105.8,4959.7676,1939.6354,5921.2124,19105.0527,2627.2678,910.9497,625.0482,1855.4091,155.146,6013.9297
2023-06-07,2078.1638,9083.8418,5151.1465,5343.0474,2695.7046,1096.4,4907.437,1913.1427,5856.3887,18307.1836,2579.4658,899.86,616.1545,1838.2623,154.2819,5933.8228
2023-06-08,2054.2556,9752.9688,5144.397,5327.1538,2651.123,1090.4,4813.436,1915.0349,5788.6626,18292.5879,2582.7144,901.8336,618.7365,1847.321,152.4412,5846.7935
2023-06-09,2077.7039,10022.7012,5207.0747,5405.6255,2707.5933,1096.6,4894.8389,1941.0544,5899.9277,18399.6191,2663.0037,909.634,618.2584,1863.1736,155.2587,5835.9146
2023-06-12,2093.7959,10216.7188,5252.3945,5330.1343,2735.3328,1106.4,4971.3965,1957.6124,5927.0181,18443.4043,2684.8162,903.1494,617.4933,1859.9385,154.6952,5928.8779
2023-06-13,2106.2095,9989.5752,5357.501,5315.2339,2758.1189,1110.6,4972.3652,2056.4863,5980.2314,19362.9004,2753.5029,905.217,618.9278,1854.762,154.3946,6240.4038
2023-06-14,2102.0718,9582.6104,5394.1436,5433.439,2780.9053,1125.6,5049.8926,2185.6377,5957.0112,19362.9004,2818.9412,928.712,633.9419,1901.9965,153.9814,6537.0947
2023-06-15,2076.7844,9016.6445,5341.1089,5410.5923,2764.063,1138.6,5046.0161,2195.5725,6022.8022,19752.1016,2830.0796,930.3096,634.0376,1897.4672,153.3053,6420.3965
2023-06-16,2107.5891,9114.1279,5361.3579,5327.1538,2727.407,1143.0,5082.8408,2191.3147,6062.4707,19849.4043,2854.2124,926.4565,635.7589,1890.3496,153.3804,6565.7754
2023-06-19,2091.0374,9063.9658,5307.3589,5268.5483,2708.5837,1115.6,5083.8101,2131.7063,6029.5747,19362.9004,2839.3613,931.2495,644.5571,1926.908,153.6433,6434.2417
2023-06-20,2052.4167,9114.1279,5326.6445,5256.6279,2721.4629,1124.8,5044.0776,2123.1909,6039.2505,19460.2012,2880.2021,923.825,639.2973,1894.879,152.5915,6617.2012
2023-06-21,2027.1293,9047.8779,5357.501,5277.4888,2668.9558,1116.0,5081.8721,2099.0637,6010.2246,20005.0859,2875.5613,935.8544,644.5571,1919.1433,154.5825,6860.4888
2023-06-22,2028.0487,8938.0908,5352.6792,5269.542,2635.2717,1088.8,5002.4072,2119.8794,6112.7812,19090.457,2930.325,971.285,658.9018,1953.1133,155.4089,6712.1426
2023-06-23,2018.3934,9158.6104,5266.8589,5244.709,2583.7554,1076.4,4881.2715,2081.0869,6027.6396,19241.2715,2840.2898,955.7783,648.191,1929.8196,154.7703,6551.9292
2023-06-26,2012.8766,9038.4131,5188.7529,5307.2876,2573.8479,1077.0,4860.9209,2101.4292,6084.7231,19080.7266,2823.582,945.9104,640.2536,1916.5551,155.2211,6548.9619
2023-06-27,1988.5084,8857.6445,5095.2188,5507.9375,2542.1458,1073.6,4790.1782,2116.5681,6184.3779,19182.8926,2805.9463,957.188,640.0624,1935.6429,157.2496,6446.1089
