Date,AZN.L,BARC.L,BHP.L,BP.L,CRH,DGE.L,HSBA.L,LLOY.L,MRO.L,NG.L,RIO.L,SGE.L,SHEL.L,TSCO.L,ULVR.L,VOD.L
2023-06-13,11735.0312,156.634,2427.238,464.5557,48.2253,3355.0081,609.1321,45.2468,525.8956,1035.3834,5197.6001,872.7565,2294.5793,262.1638,3963.1199,72.4108
2023-06-14,11505.1279,157.3134,2479.7107,460.8581,50.162,3374.0,610.3312,45.2368,524.2959,1030.8861,5332.46,874.3561,2303.0742,263.863,3965.1184,72.8207
2023-06-15,11681.0537,153.6764,2503.6982,459.409,50.8076,3357.5073,608.9323,44.9072,513.498,1033.8844,5337.4551,873.7563,2333.0557,264.3627,4018.5859,73.8404
2023-06-16,11783.0107,153.8163,2479.7107,459.3091,51.2027,3353.0093,611.3304,44.9971,508.699,1048.8754,5294.4995,877.7551,2334.5547,262.7635,4057.063,73.6905
2023-06-19,11641.0703,153.3367,2461.2205,461.1079,51.0629,3303.5312,614.528,44.9921,510.6986,1046.8766,5208.5889,874.956,2338.5518,258.6656,4031.5786,74.1204
2023-06-20,11631.0752,154.196,2435.7336,453.6627,50.9232,3305.0305,614.7278,44.7673,504.4998,1050.8743,5147.6519,881.754,2320.0637,258.5657,4052.5657,72.9807
2023-06-21,11581.0967,151.3383,2417.7429,463.7062,51.829,3304.0312,617.6255,43.6984,506.4994,1046.377,5099.7017,874.956,2362.0378,258.4658,4067.5566,72.7107
2023-06-22,11595.0898,146.8419,2390.7568,459.7088,51.511,3329.0198,606.2343,42.8643,500.5006,1035.3834,5074.728,872.1568,2332.0562,248.7708,4054.5647,71.881
2023-06-23,11417.166,145.1033,2325.791,454.3622,51.4917,3303.5312,601.7378,42.275,493.8019,1037.882,4966.3408,871.3569,2317.0657,248.6709,4087.5444,72.6708
2023-06-26,11287.2207,144.8035,2328.2896,458.7094,51.1063,3286.5388,603.6363,41.9153,487.2032,1035.8833,5007.7974,867.7579,2339.5518,251.6693,4057.563,70.0415
2023-06-27,11185.2646,146.2024,2353.7761,452.4135,52.5805,3295.0352,609.8316,42.4548,489.2028,1042.3793,5036.7671,873.1565,2318.0647,252.4689,4069.0559,72.6308
2023-06-28,11229.2461,148.2208,2353.2766,454.9118,53.0527,3326.521,612.8293,42.6046,499.8008,1046.8766,4997.8076,917.744,2322.0625,255.7672,4089.0437,73.6405
2023-06-29,11231.2441,151.1984,2349.7783,454.5121,52.9274,3329.0198,618.3251,42.7245,500.1007,1037.3823,4992.8125,915.5446,2324.0613,246.7719,4082.5479,74.3203
2023-06-30,11271.2275,153.2567,2338.7842,458.0598,53.6982,3377.4983,621.2229,43.5436,506.0995,1039.8807,4980.3262,924.5421,2341.0503,248.2711,4095.0396,73.9504
2023-07-03,10369.6104,155.4949,2387.7585,470.502,53.8428,3388.4937,627.1183,44.1779,495.1017,1045.8772,5085.7168,916.5444,2378.0278,251.8692,4113.0288,74.3003
2023-07-04,10575.5225,152.4373,2372.7664,469.9523,53.308,3396.49,624.2205,43.8333,490.4026,1047.8761,5044.7593,917.5441,2379.0273,247.6714,4081.0486,73.6405
2023-07-05,10615.5049,149.9194,2348.7788,459.5089,52.7732,3367.5029,621.4227,43.7834,486.6034,1026.8885,5011.7935,908.1467,2327.5591,248.6709,4075.0525,72.6508
2023-07-06,10323.6279,146.5821,2268.3206,449.6651,51.4146,3315.5261,609.9315,43.2539,480.6046,1019.393,4890.9185,903.9479,2263.0986,249.1706,4036.5754,70.7213
2023-07-07,10105.7197,148.6004,2256.3269,453.2628,51.5977,3268.5469,609.4319,43.0491,489.3028,998.6054,4909.8994,899.749,2281.0881,246.2721,3988.1042,70.6913
2023-07-10,10175.6914,148.6004,2230.8403,454.2622,52.0313,3268.5469,606.4342,42.9992,491.4024,988.2115,4863.4473,902.5482,2303.574,246.2721,3993.6013,70.6213
2023-07-11,10077.7334,149.7395,2253.8284,459.9586,53.3803,3288.0383,600.4388,43.3238,484.4038,987.612,4941.8652,904.3477,2318.5645,245.2726,3958.1226,71.0212
2023-07-12,10243.6611,154.6756,2331.7878,466.4545,54.392,3309.5283,615.3273,44.4776,492.9021,1007.8998,5134.666,914.7449,2350.5447,250.27,3981.1089,72.6308
2023-07-13,10325.627,155.5748,2366.2698,465.3552,55.0954,3331.519,613.7286,44.6774,493.9019,1015.3954,5222.5742,918.7438,2344.5486,249.0706,3971.6145,71.911
2023-07-14,10319.6299,154.9753,2369.7678,456.161,55.2688,3358.5068,612.6294,44.3128,496.3015,1020.8922,5206.5908,927.7412,2312.0688,249.8702,3990.1035,72.1809
2023-07-17,10195.6826,155.9345,2322.7925,452.1136,55.4422,3346.0122,617.4257,44.7923,499.9008,1016.8945,5080.7212,927.3413,2306.5718,248.7708,4017.0872,71.871
2023-07-18,10275.6475,159.2519,2339.2839,458.2597,55.924,3352.0098,623.2213,45.6414,511.2985,1012.8969,5104.6968,928.341,2321.063,251.0696,4013.0894,71.4011
2023-07-19,10497.5557,164.1479,2348.7788,469.2527,56.0493,3445.4683,628.3173,46.6453,525.8956,1039.3811,5090.7114,943.5368,2367.0344,256.9666,4082.5479,73.4305
2023-07-20,10691.4727,164.2279,2380.7622,471.951,56.5599,3398.489,639.5087,46.2857,526.2955,1043.8784,5168.6304,940.3377,2394.0181,259.7651,4049.5674,73.8504
2023-07-21,10765.4414,163.1288,2349.7783,475.4988,56.7623,3435.9722,641.5072,45.8062,529.8948,1053.3727,5134.666,937.5385,2416.5039,260.0649,4079.5496,73.4905
2023-07-24,10775.4365,164.2279,2395.2546,483.3938,56.8683,3437.9714,642.2067,45.996,532.8942,1059.3693,5171.6274,919.1436,2441.4885,261.2643,4016.0874,76.4897
2023-07-25,10715.4629,163.3885,2489.7056,480.6955,57.3308,3455.4634,643.8054,46.0459,518.2972,1050.3745,5388.4019,927.9412,2408.509,259.865,4190.4834,75.9099
2023-07-26,10665.4844,163.9281,2443.2297,478.297,57.2441,3397.9893,643.6057,45.2818,513.498,1050.3745,5223.5728,927.9412,2395.0176,263.1633,4181.4883,77.5095
2023-07-27,10695.4717,155.2751,2436.7332,479.3963,57.2055,3428.9756,641.8069,45.0021,526.2955,1042.879,5207.5898,942.737,2362.5371,260.5647,4177.9902,76.1398
2023-07-28,11053.3193,155.6148,2399.7522,475.099,57.8896,3431.9741,646.3036,45.077,524.6959,1030.8861,5119.6812,939.7379,2340.0515,261.2643,4220.9644,75.7299
